正在读取文件...
add.txt 条目数: 513
modify.txt 条目数: 99

add.txt 中独有的条目（共 414 条）:
------------------------------------------------------------
U+fa19 => 0xc9f1 | lookup=U+795e
U+fa1a => 0xcfe9 | lookup=U+7965
U+fa1b => 0xb8a3 | lookup=U+798f
U+fa1c => 0xbeb8 | lookup=U+9756
U+fa1d => 0xbeab | lookup=U+7cbe
U+fa1e => 0xd3f0 | lookup=U+7fbd
U+fa22 => 0xd654 | lookup=U+8af8
U+fa25 => 0xd2dd | lookup=U+9038
U+fa26 => 0xb6bc | lookup=U+90fd
U+fa2a => 0xef88 | lookup=U+98ef
U+fa2b => 0xef95 | lookup=U+98fc
U+fa2c => 0xf05e | lookup=U+9928
U+fa2d => 0xfa51 | lookup=U+9db4
